			Kierros1			Kierros2			Kierros3			Kierros4			Kierros5			Kierros6			Kierros7			Kierros8			Kierros9			Kierros10			Kierros11			Kierros12			Kierros13			Kierros14			Kierros15			Kierros16			Kierros17			Kierros18		
Tiimi	Pelaaja	Pts	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3
Kiki	lareman	301	10	8	8	8	3	8	8	10	2	2	8	7	2	9		10	7	9	9	10	2		8	9	8	8	8	10		9	6	2	9	2	5	2	8	2	5	2	8	2		3	6	5	3		2		9	10		10
PIPO	Valas	275	1	4	6	4	5	3	8	11	8	10	6		10				10	3	7	5			5	7		8	11		10	9	11	8		11	6	1			5	11	4	7	11	3	3	8	4	4		9	10	8		
TSK	Vili	260	3	2	9	10	11	7		1	11	7	2	10	11	9	9	1	8	8		10		6	9	5	3		2	1	3			9	4	1	11	10	6	7	2	5	6	1	2		3	7	1		2	10	5	10		
Kiki	exte	260	2	5		7	4	6	6			9	2		6	8			8	5	10	7			10	7		3	5	4	6	8	2	7	8				6	7	7	1	3	9	3	4	5	10	9	9	9	11	7	1	7	7
TKN	Aanrii	258		5	9	1	8	9	9	3	8		1			1		3	6	9	10	8	2	6	9	6	2	1		7	8	9		2	9	9	1	10	9		9	4	6	6	8	2	7		10	2	7				10	7
PIPO	Morripoika	238	8		5	5	10	2	9	8	7	1		8	2	3		10		10	3	8	9	4	4		5		9		6	11		3	10	7		7		4	6	6	1		6	6		4	1	3		11	10		6	
TOK	ED	234		4					8	6	9	8	7	5		5	9	2	4	5	6		2	10	5	3		9	8	11	6	7		9	6	9	1	5		2		9		6		5	7	7	4		8	10	2		5	
TOK	Epi	221	8	11	5	7			6		1		4			3	11	8	9	7	9	2	4		1		7	1		3	3	10	4		10		8		3	3			8	7	7	3	9	4	7	1	3	8	3	3	10	
NYKY	Hauentappaja	211			8		9		5	1	6	3	3			1	9		10	6		1	3	6	10	9	7	7	5		10		8	4	9	2	4	7			2	4	7	8	1			7				1	10	10	4	4
Procyon II	ESME	205		8	10		8	5	5							2	11	4	7			10	10			9	10	10	5	3	10	1	10	7				8			10		4				8		6	10		7	6		1	
Kiki	Saxo	201				10	10			8		5		3		2	7		10		6	8	5	4		10	7	5	4	1		6	10		4	4		10	1		8	8		5	8		10	8	1				8		2	3
TOK	Allu.K	200	7	2	3	2	5			11	8	7	2		8	3	2				11	1		8				8	9	8					1			4	8			8	2	9	6	7			6	6	9	9	4	2	6	8
YK-joukot	mr-YK	198		4				7		10	4	6		7	1	10		9	1		6	2	7	6	10	6		6	4	4	4	4	9		11	1	2				4	9	7			7		7	2		5		7		9	
TSK	Puolesta	197	8	7	7			5	3			4					5	10	7			2					10		3		2	8	7	3			5		10	4	9	10		3	10	9	11		1	2	10	4	1		9	8
Team Tylsäkaira	Björnis	196		1	7	6		4			3	8		1		5	8	7			8		4	10		3	1	7		6		4	1		7	4		8		5	10	7	3	6	1	3	8	8		7	7	8		1	9	
Procyon II	Sevy	195	9	2			4	10		10	4		1		8	7			6		8	4		6	10			6	10	5		9		2	1	9				3	8	11		9		5		3	2		3	4		9	3	4
Procyon II	Ozzman	192		10	7		7	2	8			10		11	9	9	4				9		7	7		6	4	9	6		1		5		6		4					6		7	9			8	10						9	2
Kiki	Markku	191	7	7	3		1	2			5	4	7		10			9						9			11	1		8	7	1	1	3		6	3		3	11	1	7	2	9		10		6		4		8	10	2	4	9
TSK	Jankova	188	9	5		8	3		2		1		7	2	4	8		4		10	4			2	6	4	5		1	3		1		8	7	11	7	5		2	5	3	5	8	9	8					1		7		11	2
PIPO	joonapro	185				8				6	9	9	10		1		3	5		8	6		11			1		4		7	9		6		6		2	9	10	5		3	6			10	5			10		1	8	5	1	1
PIPO	Tintti	181	4		1		1	9		5	5	9	2	3	4			4	8				8	5	9	3	6		7	9				7	9	9	10	10	7		2	4			4	5				1	9				2	
PIPO	Eläkeläinen	173	5		5	4		4	4	10	9	10	5	4	4	1			5		9			8	6		4		7		9		4	5	8	3								6			4		9	9		5			5	2
TKN	Natotaimen	172			6	6		3		6	3		5	9		6	4			8					6			1		1	7	6	7	8			8	7		6	7	1	11		3	1	1	1	1		5		5	8	6	9
NYKY	Marko	171		5	5		4	10		9		9		7	7	3			7		8			3	3		1	1	2		7	9				3		4				7	10			10	5		8			5		3	10	6
Procyon II	hauen leuka	170		8		3	6				10	8				5	1	9	10					10		4	6	2		9	8			3		2	3	4		1	7	9				7	3	4		8	5		4	5		6
TOK	Quu-Ukko	170		8					4	2	10	1	9		3		4	3		1	4	10	8	2	7		1	6		4					3		10			10	3	7	9				11			4	4		10		2	10
TSK	joohn	168	6						6			3	9	6			10	9	5	9			5	9						7		6			2				2	10	8	4		4	9	10		1		1	7	6	2	7		5
TKN	markku mato	167			1	2	5	8	10						9				2	1		7	7	2	5		7	4	7	2	11			4				3			6	7	3		7		11	3	9	6	4	7	4			3
TKN	jalmari	167		9	1			10	2		7	5	4		7	4	7	1	3	11	9	9	4	8		1	10		1		1		5	5			6		3	10							8			3		6		7		
SK	Kala-ukko	166		4	6	7		7		3	3	5		8		10	2	7	10	5	2	1	10	9	2	5	3	10	4	7	9	7		6	5	4	5																			
YK-joukot	huju	166	5	6	9	4	8	4	9	3	9	7						7	9	1	8		11		7	3																			9		7	5	3	2	3	1		10	6	10
TKN	KIDIZ	165			4	9	6		7	7	5	3	8	11	1	7	1	2		2	4	2	4			10	5	3		9			8	1		5		1	5				1	5		7		7		4		5			4	2
NYKY	-lepa-	163													8	7		8	10				6	2			6	6	10	2		2	10	9	7	8	7	6	2	2	3	3	9	4	7	10	5	4								
TKN	Norsu	163	4									2	7	4	9		9	4		4	1	4	8	10	3	10	8			10	5	2	11			3	2	8				2	5				9	4				3	2	9		1
YK-joukot	Happikato	158	4	6	8	5			5	8		8	2	8	5	4		4		7	10	3			5																	1	8	4				1	8	6		4	5	9	10	10
YK-joukot	Jonseretti	155	1	10	4		2	1	6		7		10	10	9	9			6	4	1			3	8	10					2	8				7	6								8	8		2			7					6
NYKY	Atomix	155				7						5	8	5	2	7		5		5	1			10		1	4			5	4				4					4	10	8		9	5	3			3	10	9		6		10	5
Kiki	Vileria	153		9	5	1		7		7	7	3		8	5	3	8	6				4	9	10				9		2	8							7	9	8				1			4		4	1				8		
SK	Juku6.1	153	4	2			7		4			3		8	2					4	7	6	9	1	2	2				1			4	8				9			10	1		7	9	9		2	7			4	4		9	8
TOK	$T$	152	10	6		9		10		7		9			7									3		8										3			7		9	2		11	10	10	8	11		11	1					
Procyon II	Kala-Vale	151	1			1		1		9		7				8			5			1	9	4		7			10		2	8	7		8	6	1			10		3	2	9	1	1		9		6		3	5		7	
YK-joukot	jawi	146					1	8		2			7	9			5	2	5				4	7	3	1		10	7		3	10		7		5			2	1		11	10	5	2	1	6	9							1	2
Procyon II	Nikke	143	8		3	7	11		1		7							10		7			4		9	5											8		5		1		9	4	4	10	2	5			6			10		7
NYKY	Jari Pekka	141					10						1	3	3	4	1							9		10				1	8	9	2	1	2	8	8	3	11	7		10	1	10	3		10			3	3					
Procyon II	Lupu	141	10		1	9				1	5		5				8	1			2		9						4			6	6		5			10	8	8	6			2	6	2	10			7	10					
SK	jäppinen	141	1						3	2	10				11	3	4	2	3	1		5				8				2				9				2	8			7	5	6				10	9		7	1	10	9	3	
Procyon II	Tonza_888	140	7		6	10	5		3		8		6		3	1	7			10		7			6			8					3	10	10				8											4				7	8	3
